,domain,latency1,latency2,latency3,latency4
0,JGCPOXLRTR6NCUCSBAE10BE5Q6ACR7OM3OVG9SNF1A7BFBMUR2.askjd,4.70018386841,2.00390815735,2.16603279114,2.17795372009
1,AR26KM9RSPATT29CSN9W8W4SXZFFU3F1PONFJW3AHIHNX170B1.askjd,4.58192825317,2.06303596497,1.86705589294,2.26211547852
2,EA0IFQP5PQU35N8VRXA09YDGT267WVMUBGE300DSOJ873V47QH.askjd,4.36592102051,2.10309028625,1.84106826782,2.17318534851
3,P724J168J3OB2YHDXPVWUPIK61C9PWP0MXY24RWPNUWFUDA6M7.askjd,4.51397895813,2.07090377808,1.83510780334,2.07281112671
4,HCWKFJGHG1PYOME03WEK567328EDZD9T2MWWNVN375AYXS7FTP.askjd,4.35900688171,1.93095207214,1.74689292908,1.95693969727
5,5BZOPRQ0N1TFBGH462JA991Y1U4Q9TCVAHL59YXK4KAINU6F5X.askjd,4.30488586426,1.95288658142,1.82414054871,1.93214416504
6,R9POBCQG7N15MFBYV3N9RWZPEJ4XEMVSE4KTQLOGBQI1QUPJ02.askjd,4.34303283691,1.90186500549,1.77192687988,1.91187858582
7,SPASXGM722FVD38VH8HZQHQYOX5LFDKGSRY7V6YDUDPD499GDD.askjd,4.22787666321,1.81818008423,2.26998329163,1.94501876831
8,G32QKR0P6GPPGJ712JDILQ8VKY8SGKF3R741ADIL8RRHPU4ZZU.askjd,4.1298866272,1.89518928528,1.77001953125,1.96599960327
9,WCCH2EZ3HPHN77JPSM40NOUWO075E6XWQYV740IBJ61204CK45.askjd,4.28891181946,1.85990333557,1.87087059021,1.73306465149
10,DWVFN3TPIF0HL9MASVL34FI82UDGCBZJ3QGAFQPMB4UHC8CGIK.askjd,4.37593460083,1.81698799133,1.74593925476,1.6930103302
11,XP6GTIPII4X0JRAEABIAGN8T5NNZPY7K1RSZWEQL1LCP8HAUN2.askjd,4.36615943909,1.90305709839,1.77502632141,1.80196762085
12,48G3V3A52R7WK5VLPXZ6XFDPJXELVRO50KLWK6KIHGZHGM1JGW.askjd,4.17900085449,1.89590454102,1.75189971924,1.88708305359
