,domain,latency1,latency2,latency3,latency4
0,ATFWT4H90UQTDIUKN61S473FX8AV28YRFR3KO63UDNGN8KVG22.ans1.tld1,7.25102424622,2.12097167969,2.21800804138,2.34794616699
1,32KV822UOIHIOQ0U3GDWPIIWPBDG6U1V7CZ1M4UESBENWPNRJN.ans1.tld1,5.08999824524,1.98292732239,1.88183784485,2.01511383057
2,PBRYC80P6CMPI0RLK7TATCJ61BJ2UYW67DJUANCXVNLQDZ6SZK.ans1.tld1,4.84108924866,1.98888778687,1.82199478149,2.07114219666
3,4UNV7OB60WP5CPSAA4SWQILC0KT3PBM4BZU28D66JIRM1J2KJ4.ans1.tld1,4.76598739624,1.92189216614,1.88302993774,2.04992294312
4,RJZPCEZICPQWA2CS7IBSTEI05LQ9L4XD97G8518VTHXB17ROJA.ans1.tld1,4.87303733826,1.93810462952,1.92308425903,1.93405151367
5,E1LLGIV6NTNDZJ5PNPOW9TT02UNJ5RON9JBD82AFYCLZV44A51.ans1.tld1,4.95314598083,1.81293487549,1.92499160767,1.93905830383
6,H2T4ZGB29R0P0OPBAZ4I2P1Q9U4TBKBV8H3WWE0I1107ZIE6UX.ans1.tld1,5.73492050171,1.84297561646,1.80602073669,1.92499160767
7,TEGSEXETY3DXQ97PR31OEB8CGK4A4KEPNBA3ZOVNSGS429JVHE.ans1.tld1,5.8970451355,1.90997123718,1.80792808533,1.83391571045
8,B2VN0H203CSYLTRRH565E22NGYBGH6176XTRLZPK2KKQ12GWH6.ans1.tld1,4.63795661926,1.86610221863,1.83415412903,1.8458366394
9,LB3JBBXVUF88A065FM11JETPVCW1RAF511UPS88KO3JP6FDPT4.ans1.tld1,4.67896461487,1.953125,1.88589096069,1.82509422302
10,24B4U93PIUTE3RLUQODF6TEYRXLN6WIMBEVKF57LT82RYI8ALW.ans1.tld1,4.67991828918,1.82700157166,1.87110900879,1.83391571045
11,4IR684QPA5HKK4Q0ARTWK5E00WM76UE1M2ZA1YFDD1SVVJNJT9.ans1.tld1,4.55188751221,1.92904472351,1.8298625946,1.88684463501
12,QZ3LNS5WGFSC162XHKDVXO3W8Q5U8HWA7ZPKZ7R4V9XZ1H3L3F.ans1.tld1,4.88996505737,1.95002555847,1.82700157166,1.82890892029
13,QYHU1W8A5FRMSGLTTVU0PR7HM85AB0GG9EPLQ318CPRBXUNHP4.ans1.tld1,4.85706329346,1.83892250061,2.02083587646,1.83606147766
14,8RXSAQGR88MB4LDXINMHZ9V9FVPLGMWDIEFHK88M7D1TUQR8DP.ans1.tld1,4.55403327942,1.88803672791,1.82509422302,1.83606147766
15,XS10N2F7VOUDK556XZYMCQ0O9783X2IH42FDSIJFHL4SOUCHJ1.ans1.tld1,4.76717948914,1.83296203613,1.81102752686,1.89089775085
16,WWSH73W67R60SND34N5EGX34YT4O37AZ8OC1DFMUN7Y6TMAWXG.ans1.tld1,4.87303733826,1.9359588623,1.93119049072,1.96385383606
17,4GH7M20DOB3GA6K2IIULUP9N23R0JNFLLV0QGIS4D4XOWWB8AV.ans1.tld1,4.57215309143,1.8630027771,1.84988975525,1.89900398254
18,00O0UGXMEPDXNFEW45QG4VHX4VGEMIUM7B56BP24HDSUXL4BUW.ans1.tld1,4.60505485535,1.85704231262,1.74808502197,1.90305709839
19,HYKH7NJ0KSPQKFQPHWM5YID4U1GM3DWOTQDAQ4DXH00AG5RBMA.ans1.tld1,4.75406646729,1.84512138367,1.80697441101,1.76692008972
20,CEFN50PY7ID131K4N4F8G7PKLV44GTHO5HW9OE08MAJOEVTJQK.ans1.tld1,4.65798377991,1.87492370605,1.73091888428,1.77621841431
21,9C6ZSVOBO099FQB58KMZ6JWXPVQLYWUJ99AKLVT9N4ZXUS8SBS.ans1.tld1,4.76694107056,1.85680389404,1.8470287323,1.86705589294
22,278P99KGQ27GH7KO06NINIH09NYOGUTR0MDGRW7XVL5YKVQSR3.ans1.tld1,4.6968460083,1.90210342407,1.80792808533,1.78098678589
23,QNQPPKPDPQEFRMNKXPH4422HZUW5UCP9922VJZH5N5VTELU7G3.ans1.tld1,4.73999977112,1.97196006775,1.83987617493,1.79004669189
24,5CS3FSEIV7U18SL9ILFMH8L4YULLJ23QZED9Z6OLAAD138PI2E.ans1.tld1,4.63700294495,1.78790092468,1.82294845581,1.86610221863
25,6KPX8LALX4ZNC4Y17C5MB042DJAM6KWEE1YHRVTTG74ZWUSTAY.ans1.tld1,4.60982322693,1.84607505798,1.87683105469,1.79600715637
26,AI3DLSMAE85YIQ39QMLOOYLCMI992ETXR11F26GCY09LJ5NQ1B.ans1.tld1,4.74095344543,1.84178352356,1.8150806427,1.89995765686
27,SF8GFQUM0U1I2H2HE8820H6TMEY7JZ1JG7GN263PLGH8C5OTJM.ans1.tld1,4.4219493866,1.84917449951,1.73997879028,1.82294845581
