,domain,latency1,latency2,latency3,latency4
0,S2TUZIYMJIMYT1SXI86EF0SU7EIOHOXELUSPZ4USRQGNTS1PAG.tld1,16.7820453644,3.17311286926,3.70097160339,3.0460357666
1,QG5YTXBJW7ARHHIZV1M091A9P7WQ6NK5UESB0FD5VX4L7XGFXV.tld1,6.7720413208,2.71415710449,2.53701210022,2.49004364014
2,PLJUMVDGJ6V0GNEPCEFGW8NBY7VUS5N8NA9V1KJQGBK1FZ8MMI.tld1,5.43618202209,2.51483917236,2.45904922485,2.43210792542
3,X6HP3D9YM8DDFLPMXYJLSMF22MM1K7ZEAA1Q8SRFY1GVB7H78S.tld1,5.96594810486,2.37393379211,2.26306915283,2.18415260315
4,SR0S3FWXRJ76Q2MHQ7WVXAR67A72M82VAKMRR3KX18BWTYV9U3.tld1,5.96499443054,2.8920173645,2.1059513092,2.112865448
5,9PWK22VKJJYMJSD461WFBNVEJN08DH8FTHDFR97UJ7A9QKKZC0.tld1,4.7070980072,2.03680992126,3.0620098114,2.20012664795
6,K28RCTMY1UO6RSUYUE5NWMKTTMJNF3HO2W1Y9BUNWU6XYBQ4N2.tld1,5.13696670532,2.08377838135,2.14695930481,1.96695327759
7,T5VYPQ83L1UYHMM57UCZ8X5KG3HKQR0PPN8IVZC0FTFX30VC1T.tld1,5.5730342865,2.03895568848,2.12287902832,2.06804275513
8,Q17MWB9JFJQS6PTJQMWFXK3218C2IY4W5T0GX60Q9ZRLKAS5JA.tld1,4.56213951111,2.01606750488,2.08210945129,1.96003913879
9,UX1V19OMBY0BIKB3QMU70MV3NOSWXM0XEDBPF9ZUKHS9INZFTJ.tld1,5.05995750427,4.96912002563,4.4150352478,2.03990936279
10,976DPBSUIKOH0ZDU6SHPTBW7AFCPHC6COILGOE5062J8CBGCFP.tld1,5.42497634888,3.26991081238,2.99286842346,5.16200065613
11,I6PN1GHUUXEM8ZGBQWF2U2AKZTMTTTG261FGHFGANZBKME0ISF.tld1,5.07402420044,2.28691101074,2.54988670349,2.5110244751
12,8FJ8WWEXNSPNZWWQ1J1ZH8XNSTZHDGX2ACQW4ODYYDMSCRGWTO.tld1,4.49204444885,2.19798088074,2.1698474884,2.27212905884
13,NOLVMALG2IZISOIDNPQYD6PIVXWSX9KNJX4K4OGHR5MZ4KWU3R.tld1,5.46288490295,2.32696533203,2.07686424255,1.88302993774
14,QWHBJ10JPEX05CBO46FZIRHIXBZ9M3CM49TK54MK6KJWX3TNCH.tld1,5.01489639282,2.27093696594,2.1059513092,1.80196762085
15,S7ZUNTQ1QIPK7BIT2QA7PIOEYS3UPENQFKBPPNF3YAMYP2EP9P.tld1,4.44507598877,2.1698474884,2.23803520203,2.07901000977
16,Q86Y4OV2EJH4NPKF8BXQ1XCWZ5A6HSU8UVSZAHOS4VFZWOP6AQ.tld1,5.20610809326,2.07996368408,2.16293334961,2.05183029175
17,PCF3IJZX8QEB5FPQ2024Q6Q3K3PZDB1ZAWVZO1KE2C35O76Z8Q.tld1,5.07211685181,4.01210784912,2.00486183167,1.83701515198
18,AIMYON2HNWJOQBQLKAVA3YTX39BRHNT0T8S4G20YGLBX99WR35.tld1,10.07604599,3.65614891052,1.95503234863,1.88302993774
19,GUCX6YBSE0F990C1PJW7V5BGJPM801107XL781BISH1ZUDFXZO.tld1,4.8680305481,2.45594978333,4.19807434082,1.92618370056
20,GBBPI1J30QMDTH83N2AUK7TTAT1QR3F9MW122LW0GBNB6VK06V.tld1,5.66005706787,2.3410320282,2.75993347168,1.89805030823
